"","sub","trial","cond","ex","dist","max_dev","ave_dev","area"
"1",1,2,"Typical","Loewe",1063,85.1,6,46527
"2",1,3,"Typical","Kaninchen",1032.7,65.4,14.6,16242.5
"3",1,4,"Atypical","Seeloewe",1153.5,99.2,18.2,54516
"4",1,5,"Typical","Alligator",1049.8,64.3,20.7,32053.5
"5",1,6,"Atypical","Pinguin",1961.7,623.6,92.5,228192.9
"6",1,7,"Typical","Katze",1587.2,598.2,90.9,315863.5
"7",1,8,"Typical","Spatz",2118.3,880.8,165.5,550035.8
"8",1,9,"Typical","Chamaeleon",1266.9,210.8,28.4,153632.7
"9",1,10,"Typical","Pferd",1150.7,76.8,17.5,51609
"10",1,11,"Atypical","Schmetterling",1028.2,71.3,18,48131.5
"11",1,12,"Typical","Hai",1106,97.7,4.7,70573.3
"12",1,14,"Typical","Falke",1283.2,154.1,19.2,97678.9
"13",1,15,"Atypical","Wal",1026.2,84.5,8,44149.4
"14",1,16,"Atypical","Fledermaus",1039,162.9,8.2,85775.6
"15",1,17,"Typical","Lachs",1447.9,276.2,33.7,207243.5
"16",1,18,"Typical","Goldfisch",1246.3,237.5,31.7,162504.8
"17",1,19,"Typical","Hund",1058.3,66.8,12.3,33117.9
"18",2,1,"Typical","Katze",1032.1,96,17.2,50450.3
"19",2,2,"Atypical","Pinguin",1032.5,31.9,3.3,15579.6
"20",2,3,"Atypical","Schmetterling",2388.8,984.9,180.5,463585
"21",2,4,"Typical","Spatz",986.8,37.9,7.2,22885.6
"22",2,5,"Typical","Falke",1848.5,664.9,92.4,281493.7
"23",2,6,"Atypical","Aal",1173.9,38.1,2.5,21351
"24",2,7,"Typical","Hund",1215.8,17.7,2.2,9951.7
"25",2,8,"Typical","Klapperschlange",1097.8,78.5,5.8,49383.6
"26",2,9,"Atypical","Fledermaus",1055.4,64.9,14.3,13519.3
"27",2,10,"Typical","Goldfisch",1089.2,56.6,19,29887
"28",2,11,"Typical","Loewe",1077.5,26.9,2.2,11485.4
"29",2,12,"Typical","Hai",1161.2,34.6,1.8,16933.5
"30",2,13,"Typical","Kaninchen",1205,193.3,24.6,146548.5
"31",2,14,"Typical","Lachs",1051.4,17.5,1.1,7061.6
"32",2,15,"Typical","Pferd",1140.5,66,7.8,43830
"33",2,16,"Atypical","Wal",2327.8,1019,241.6,458158
"34",2,17,"Typical","Chamaeleon",1145.4,145,22.3,81827.6
"35",2,18,"Atypical","Seeloewe",2937.2,109.7,54,106392.1
"36",2,19,"Typical","Alligator",1122,91.8,17.5,46602.3
"37",3,1,"Typical","Spatz",2175,617.8,148.8,484707.9
"38",3,2,"Typical","Hund",1221.2,44.6,6.7,27802.6
"39",3,3,"Atypical","Wal",2839.9,605.8,103.4,125169
"40",3,4,"Typical","Pferd",1064.9,72.4,35,36334.4
"41",3,5,"Atypical","Schmetterling",1102.5,45.5,6.6,20281.8
"42",3,6,"Atypical","Fledermaus",2078.2,798.6,230.5,494752.5
"43",3,7,"Typical","Alligator",2571.7,972.3,257,414769.9
"44",3,8,"Typical","Falke",2601,878.1,251.4,401384.9
"45",3,9,"Typical","Chamaeleon",2161.2,792.5,136.5,456937.2
"46",3,10,"Typical","Kaninchen",1157.1,141.3,18.5,91712.5
"47",3,11,"Atypical","Pinguin",3118.4,686.6,94.4,223373.1
"48",3,12,"Typical","Katze",2069.7,849,188.3,499195.5
"49",3,13,"Typical","Loewe",1079.5,58.1,9.2,30900.9
"50",3,14,"Atypical","Seeloewe",5241.8,972.4,231.6,388665.9
"51",3,16,"Atypical","Aal",1121.1,126.1,33.5,72342.3
"52",3,17,"Typical","Lachs",1171.8,47,10.2,31908.9
"53",3,18,"Typical","Klapperschlange",1524.1,419.2,43.5,233116.8
"54",3,19,"Typical","Goldfisch",1128,72.7,16.5,55383.5
"55",4,1,"Typical","Katze",1150.2,131.6,47.5,96719
"56",4,2,"Atypical","Fledermaus",2915.1,865.9,248.4,178569.7
"57",4,3,"Typical","Kaninchen",1216.4,189.3,39.8,100422.7
"58",4,4,"Typical","Spatz",1167.8,109.6,30.3,67762
"59",4,5,"Typical","Loewe",1181.9,245.8,36.2,136396.5
"60",4,6,"Typical","Hund",1117.6,179.3,33.4,119374.5
"61",4,7,"Atypical","Wal",3802.7,922.2,248.9,343478
"62",4,8,"Typical","Alligator",1118,172.8,33.4,95513
"63",4,9,"Atypical","Aal",2568.4,1033.9,350.8,367720
"64",4,10,"Typical","Lachs",1131.6,187.3,34.3,126666.4
"65",4,11,"Typical","Goldfisch",1060.8,120.1,20.3,73778
"66",4,12,"Typical","Falke",2336.9,1015.3,313.5,449936
"67",4,13,"Typical","Pferd",1607.5,464.1,89.2,206681.5
"68",4,14,"Typical","Chamaeleon",1137.5,87.4,23.6,43610.7
"69",4,15,"Atypical","Schmetterling",1646.7,240.2,45.8,46308.6
"70",4,16,"Typical","Klapperschlange",2626.9,910.5,380.4,458887.5
"71",4,17,"Atypical","Seeloewe",1829.1,674.1,204.2,406935.1
"72",4,18,"Typical","Hai",1775.3,271.2,61.5,172263
"73",5,1,"Atypical","Fledermaus",1823.7,728,197.6,307093.3
"74",5,2,"Typical","Spatz",1443.9,139.5,14.9,108609.2
"75",5,3,"Typical","Goldfisch",1115.8,190.8,29.4,78586.8
"76",5,4,"Typical","Loewe",1127.3,174,22.2,88708.9
"77",5,5,"Typical","Katze",1053.6,105.8,27.6,64278.3
"78",5,6,"Typical","Alligator",1258.8,198.5,37,118767
"79",5,7,"Atypical","Wal",1732.7,550.1,155.1,285361.9
"80",5,8,"Typical","Lachs",1137.4,189.8,40.3,106540.3
"81",5,9,"Atypical","Pinguin",4400.5,882.6,295.2,161058
"82",5,10,"Typical","Hund",990.6,31,5,15382.2
"83",5,11,"Typical","Chamaeleon",1285.6,341.9,80.2,132728.7
"84",5,12,"Atypical","Aal",1064.6,70.9,18.7,38942.6
"85",5,13,"Typical","Kaninchen",983,113,17.9,54211.6
"86",5,14,"Typical","Pferd",1057.4,61.7,10.9,32383.5
"87",5,15,"Typical","Klapperschlange",1053.7,66.5,14.2,35585.3
"88",5,16,"Typical","Falke",2894,944.6,302.4,228854.4
"89",5,17,"Typical","Hai",1041.6,48,8.3,37220.5
"90",5,18,"Atypical","Seeloewe",998,16.6,6,6492.1
"91",5,19,"Atypical","Schmetterling",1127.8,114.4,27.7,46627.1
"92",6,1,"Atypical","Schmetterling",1650.8,464.9,90.4,275254.4
"93",6,2,"Typical","Katze",1092.8,7.9,1.8,3588.5
"94",6,3,"Typical","Chamaeleon",2262.2,938.4,368.7,604660.5
"95",6,4,"Typical","Goldfisch",953.1,10,2,4509.1
"96",6,5,"Typical","Hund",1045.6,48.5,10.9,33776.1
"97",6,6,"Atypical","Fledermaus",5134.2,1093.6,431,562160.2
"98",6,7,"Typical","Spatz",1365.2,195.8,50.6,132018.8
"99",6,8,"Atypical","Seeloewe",1033,111.8,20.1,33536.7
"100",6,9,"Typical","Pferd",1298,273.6,54.6,157177.7
"101",6,10,"Atypical","Pinguin",2384,1076.2,580.3,526527.5
"102",6,11,"Typical","Loewe",924,84.8,16.4,51009
"103",6,12,"Typical","Kaninchen",1123.2,38.1,5.9,23219.7
"104",6,13,"Atypical","Wal",2355,991.6,473.9,566455
"105",6,14,"Typical","Alligator",1165.3,71.2,11.8,33966.6
"106",6,15,"Atypical","Aal",1073.3,45.6,7.1,28217.8
"107",6,16,"Typical","Hai",1335.8,205.4,32.1,149048.5
"108",6,17,"Typical","Klapperschlange",5573.5,1019.6,395.9,17767.8
"109",6,18,"Typical","Falke",1095.3,61.9,9.4,39084.5
"110",6,19,"Typical","Lachs",1009.8,5.5,0.5,1715.5
"111",7,1,"Typical","Hund",1252.6,35.5,4.7,19981.2
"112",7,2,"Typical","Loewe",1537.8,544.1,128.6,204539.9
"113",7,3,"Typical","Pferd",1050.4,147.3,52.3,101419.5
"114",7,4,"Typical","Goldfisch",1048.3,53.6,12.6,22111.4
"115",7,5,"Typical","Kaninchen",1109.9,61.9,18.5,29034.3
"116",7,6,"Typical","Spatz",1145.5,125.9,22.5,45809.6
"117",7,7,"Typical","Lachs",1167.6,103.3,28.7,65462.4
"118",7,8,"Atypical","Pinguin",2668.5,959.7,497.3,543536
"119",7,9,"Typical","Katze",2191.3,855.8,225.6,270725.5
"120",7,10,"Typical","Alligator",1177.1,281.2,65.6,157152.5
"121",7,11,"Atypical","Aal",1129.7,231.8,52.6,146290.5
"122",7,12,"Typical","Chamaeleon",1026.1,74.8,20.3,38548
"123",7,13,"Atypical","Seeloewe",1050.3,27.9,5.2,12615
"124",7,14,"Typical","Klapperschlange",1101.5,90.7,23.2,53325.3
"125",7,15,"Atypical","Fledermaus",965.2,35.2,10,17521.8
"126",7,16,"Atypical","Schmetterling",1868.5,724.2,196.8,433599
"127",7,17,"Typical","Hai",1582.3,582.4,143,345809.5
"128",7,18,"Typical","Falke",1062.7,68.9,13.1,41504.1
"129",7,19,"Atypical","Wal",2081.9,877,344.1,435991.5
"130",8,1,"Atypical","Pinguin",1069.2,18.4,1.8,10134
"131",8,2,"Typical","Klapperschlange",1052.9,134.4,15.1,56468.8
"132",8,4,"Atypical","Wal",1075.7,74,4.7,44124.8
"133",8,5,"Atypical","Schmetterling",1070.2,92.4,5,62945.4
"134",8,7,"Typical","Spatz",1027.4,77.9,16.9,38501.5
"135",8,8,"Typical","Kaninchen",2622.1,989.5,268.9,181128.5
"136",8,9,"Typical","Lachs",1253.1,128.5,18.7,84863.5
"137",8,10,"Typical","Loewe",1009.1,47.8,4.4,12198.2
"138",8,11,"Typical","Alligator",982.8,29.1,5,16514.3
"139",8,12,"Typical","Falke",1054.4,24.8,3.5,9564.3
"140",8,13,"Typical","Hai",1074.2,57.6,16.9,20672.4
"141",8,14,"Typical","Pferd",1076.5,37,5.9,16401.2
"142",8,15,"Typical","Hund",1005.6,40.7,6.1,21909.9
"143",8,16,"Atypical","Aal",1045.7,92,12,49989.1
"144",8,17,"Typical","Chamaeleon",1060.5,87.1,12.2,50872.7
"145",8,18,"Atypical","Seeloewe",1075.1,88.6,10.3,50213.9
"146",8,19,"Typical","Goldfisch",1838.3,716.5,171,300112.2
"147",9,1,"Typical","Goldfisch",1092.1,74.2,7.3,36134.4
"148",9,2,"Typical","Katze",1029.7,39.6,8.3,16236.8
"149",9,3,"Typical","Alligator",1070.5,96.4,21.3,47211.6
"150",9,4,"Typical","Pferd",1094.3,123.4,21,71570.2
"151",9,5,"Atypical","Schmetterling",1074,106.4,10.1,66580.7
"152",9,7,"Typical","Chamaeleon",1315.2,146.5,20.9,125206.5
"153",9,9,"Atypical","Aal",1103.5,114.9,20.2,47097.9
"154",9,11,"Atypical","Pinguin",1019.5,48.3,17.6,30491
"155",9,12,"Typical","Klapperschlange",2480.9,996.3,322,493614.6
"156",9,13,"Typical","Falke",1165.7,95.2,19.3,50092
"157",9,14,"Typical","Spatz",2040.6,840,214.5,501780.5
"158",9,15,"Typical","Loewe",2884.8,976.1,178.8,177136
"159",9,16,"Typical","Lachs",1482.5,252.3,91,91846.1
"160",9,17,"Typical","Kaninchen",1121.8,87.4,14.6,39055.1
"161",9,19,"Typical","Hund",1325.5,220.6,33.7,139491.4
"162",10,1,"Typical","Hai",1086.8,85.3,12.5,51446.3
"163",10,2,"Typical","Loewe",1717.9,667.7,147.4,334665.5
"164",10,3,"Typical","Klapperschlange",1285.8,54.2,12.1,30745.7
"165",10,4,"Atypical","Seeloewe",1039.3,57.9,8.6,30691.5
"166",10,5,"Typical","Spatz",1073.6,35.2,3.9,11331.3
"167",10,6,"Typical","Alligator",1128,199.5,30.3,106349
"168",10,7,"Atypical","Aal",1045.2,87.2,6.7,51864.7
"169",10,8,"Atypical","Pinguin",1078.3,67.3,12.3,20478.4
"170",10,9,"Typical","Hund",1010.6,94.1,13,54244
"171",10,10,"Typical","Lachs",1036,123.2,27.5,77388.4
"172",10,11,"Typical","Kaninchen",1032.3,23.4,3.7,15225.5
"173",10,12,"Typical","Pferd",1012.1,35.8,9,19502.2
"174",10,13,"Typical","Falke",1083.6,150.2,20.1,87856.3
"175",10,14,"Typical","Katze",1101.6,65.5,6.2,30775.7
"176",10,15,"Atypical","Schmetterling",1260.4,271.3,94.2,111347.5
"177",10,16,"Typical","Goldfisch",1076,64.5,7.8,34897.7
"178",10,17,"Typical","Chamaeleon",1086,63.7,13.4,46029.5
"179",10,18,"Atypical","Fledermaus",1529,504.9,131.7,295971.4
"180",10,19,"Atypical","Wal",1657.2,585.1,147.7,267023.5
"181",11,1,"Typical","Loewe",1244.1,255.4,45.9,99962.1
"182",11,2,"Typical","Chamaeleon",1087.3,40.3,10,24187
"183",11,3,"Typical","Spatz",2015.8,611.3,43.1,223399.5
"184",11,4,"Typical","Katze",1041,62.3,12.7,30726.7
"185",11,5,"Typical","Lachs",1002.3,61.1,7.3,31400.9
"186",11,6,"Typical","Klapperschlange",990,51,5.3,27477.5
"187",11,7,"Atypical","Seeloewe",2139,843.8,307.9,347378.1
"188",11,8,"Typical","Falke",1576.1,591.5,77,292949
"189",11,9,"Typical","Alligator",1063.7,113.4,21.1,68260
"190",11,10,"Atypical","Aal",2334.7,881.8,624.8,466953.1
"191",11,11,"Typical","Goldfisch",1021.8,97.9,15.6,55087.1
"192",11,12,"Atypical","Pinguin",1153.7,111.2,22.9,80843
"193",11,13,"Atypical","Fledermaus",1141.2,150.7,10.7,61830.1
"194",11,14,"Atypical","Schmetterling",1681.2,542.1,119.6,278317
"195",11,15,"Atypical","Wal",1072.6,202.6,12.7,115587
"196",11,16,"Typical","Pferd",1006.7,79.5,13.3,46398.2
"197",11,17,"Typical","Kaninchen",1301.3,41.1,21.2,19518.4
"198",11,18,"Typical","Hund",1042.7,109.1,13.5,51148.7
"199",11,19,"Typical","Hai",1361.2,155.1,13.9,103196.5
"200",12,1,"Typical","Katze",1532.2,22.5,5.1,15491.6
"201",12,2,"Typical","Kaninchen",1303.9,123.5,16.2,61995.3
"202",12,3,"Typical","Spatz",1151,22.3,3.1,9822.1
"203",12,4,"Atypical","Pinguin",1547,460.4,42.7,223020.5
"204",12,5,"Typical","Hund",963.4,51.5,22.1,19963.7
"205",12,6,"Typical","Hai",1292,177.9,25.5,42055.6
"206",12,7,"Typical","Chamaeleon",1304.4,28.5,2.5,19309.5
"207",12,8,"Typical","Pferd",1208.8,270.9,121.5,99036
"208",12,9,"Atypical","Aal",999.3,71.7,40.9,43090
"209",12,10,"Atypical","Seeloewe",1214.1,73.1,20.9,34110.8
"210",12,11,"Typical","Loewe",1110.2,22.5,4.3,15618.5
"211",12,12,"Typical","Lachs",1063.1,77.3,10.6,41085.5
"212",12,14,"Atypical","Schmetterling",1237.4,157.8,26.5,54142.8
"213",12,15,"Typical","Alligator",1374.1,100.6,19.4,64810.3
"214",12,17,"Atypical","Wal",2677.4,1181.8,278.1,727490
"215",12,18,"Typical","Goldfisch",1421,27.2,10.1,15034.1
"216",12,19,"Typical","Falke",2977.7,103.6,28.9,68892.4
"217",13,1,"Atypical","Wal",2190.3,838.6,231.3,221919.8
"218",13,2,"Typical","Chamaeleon",1302,234.1,49.3,82272.2
"219",13,3,"Atypical","Aal",2914.7,892.4,161.4,124634.8
"220",13,4,"Typical","Katze",1400.3,305.5,111.6,135631.5
"221",13,5,"Typical","Spatz",1165.3,148,51.5,71899.9
"222",13,6,"Typical","Goldfisch",1155.4,96.9,40.2,55916
"223",13,7,"Typical","Loewe",1021.4,55.6,8.4,29567.4
"224",13,8,"Typical","Hai",1327.8,157.2,72.1,74028.6
"225",13,9,"Typical","Hund",1293.8,133.4,37.9,88441.2
"226",13,10,"Atypical","Schmetterling",1036.4,95.2,34.8,31224.4
"227",13,11,"Atypical","Seeloewe",1017.1,104.7,44.8,44933.4
"228",13,12,"Typical","Klapperschlange",2474.7,945.7,372.5,367789
"229",13,13,"Typical","Pferd",975,139.9,14.7,73869.8
"230",13,14,"Typical","Falke",1238.4,208.5,58.5,109389.2
"231",13,15,"Atypical","Fledermaus",1349.2,299.6,117.2,114648.1
"232",13,16,"Atypical","Pinguin",1095.3,51.8,9.2,16658.8
"233",13,17,"Typical","Alligator",1189.5,205.7,124.9,94801.7
"234",13,18,"Typical","Lachs",947,103.7,37.9,64849.6
"235",13,19,"Typical","Kaninchen",1074.1,92.6,39.5,48801.9
"236",14,1,"Typical","Klapperschlange",1182.8,194.5,37.4,121584.9
"237",14,2,"Typical","Lachs",1117.8,207.1,79.3,102878.2
"238",14,3,"Typical","Goldfisch",1006.9,47,7.6,23174.3
"239",14,4,"Typical","Loewe",1015.7,38.5,11.1,21976
"240",14,6,"Typical","Falke",1138.2,126.3,52.1,84712
"241",14,7,"Typical","Kaninchen",2207.8,900.5,414.3,293109.3
"242",14,8,"Atypical","Fledermaus",1823.5,788.8,209.6,331375.6
"243",14,9,"Typical","Hund",1640.4,405.6,50.1,208631.6
"244",14,10,"Typical","Spatz",1114.8,41,7.4,19241.8
"245",14,11,"Typical","Pferd",1239.8,256.8,69.1,119883.6
"246",14,13,"Atypical","Wal",2069.6,865.6,193.2,473081.1
"247",14,14,"Atypical","Seeloewe",1124.8,98.7,32.6,80171.9
"248",14,15,"Typical","Chamaeleon",973,30.4,6.9,17697.5
"249",14,16,"Typical","Hai",1021.9,58.5,10,33204.3
"250",14,17,"Typical","Alligator",1132.8,199.8,64.5,68225.4
"251",14,18,"Atypical","Schmetterling",2158.3,906.7,222.5,469783.8
"252",14,19,"Atypical","Pinguin",1000.8,49.2,16.9,28775.2
"253",15,1,"Typical","Spatz",1063.6,27.3,3.3,16946.2
"254",15,2,"Typical","Katze",989.6,101,23.9,68162.7
"255",15,3,"Atypical","Wal",2390.8,1015.2,404,503519
"256",15,4,"Typical","Pferd",1144.7,213.7,37.6,135674
"257",15,6,"Typical","Loewe",1111.5,37,4.6,21754.2
"258",15,7,"Typical","Chamaeleon",1273.7,206,50.9,67610.9
"259",15,8,"Typical","Klapperschlange",2231.1,923.9,409.8,355658
"260",15,9,"Typical","Kaninchen",1119.9,161.7,22.1,120267.3
"261",15,10,"Typical","Lachs",1066.1,97.2,10,63514
"262",15,12,"Typical","Goldfisch",1019.9,81.2,10.4,39834.8
"263",15,13,"Atypical","Aal",1039.6,73.5,10,41887.5
"264",15,14,"Typical","Alligator",1011.2,32.7,3.3,14214
"265",15,15,"Typical","Hai",1027.6,83,9,46448.1
"266",15,16,"Atypical","Schmetterling",995.1,25.8,2.2,14993.3
"267",15,17,"Atypical","Fledermaus",979.5,36.5,4.5,16321.2
"268",15,18,"Typical","Falke",1037.9,108.9,14.3,63161
"269",15,19,"Typical","Hund",1896.9,769,157.2,439535
"270",16,1,"Typical","Katze",2477.5,525.3,245.6,219925.5
"271",16,2,"Typical","Spatz",995.7,125.2,38.6,52178
"272",16,3,"Typical","Pferd",3261,951.1,174.6,134006
"273",16,4,"Typical","Hund",1260,46.7,7.1,29362.4
"274",16,5,"Typical","Hai",1412.8,316.3,83.5,161658.5
"275",16,7,"Typical","Chamaeleon",1011.3,60.3,13.4,26981.5
"276",16,8,"Atypical","Fledermaus",2198.6,905.6,279.3,344461.6
"277",16,9,"Typical","Klapperschlange",1221.8,157.9,25.4,83950.3
"278",16,10,"Atypical","Schmetterling",1602.7,370.7,136.4,215201.9
"279",16,11,"Typical","Alligator",1086.8,120.6,25.3,38625.8
"280",16,14,"Atypical","Pinguin",1077.5,50.6,7.9,25987.1
"281",16,16,"Typical","Loewe",2005.3,874.7,238.9,415244
"282",16,17,"Typical","Goldfisch",1109.1,70.8,26.7,24286.6
"283",16,18,"Typical","Kaninchen",1066.7,80.8,26.6,29510.4
"284",16,19,"Typical","Lachs",1800.5,655.2,225.3,388176.5
"285",17,1,"Typical","Loewe",1404.3,180.8,28,51162
"286",17,2,"Atypical","Fledermaus",1067.5,74.3,8.1,45133.7
"287",17,3,"Typical","Lachs",1070.6,63.1,4.5,41302.6
"288",17,4,"Atypical","Seeloewe",1159.7,49.3,1.8,25062.3
"289",17,5,"Atypical","Aal",1200.3,154.3,3.8,112254.6
"290",17,6,"Typical","Chamaeleon",1195.2,142.1,22.6,107522.5
"291",17,7,"Typical","Alligator",957.1,64,12.4,32605.3
"292",17,8,"Typical","Kaninchen",1230.4,309.8,40.3,210543.5
"293",17,9,"Typical","Goldfisch",1396.7,332,39.1,254755.5
"294",17,10,"Typical","Pferd",1230.5,124.8,17.8,88505.4
"295",17,11,"Atypical","Schmetterling",1279.6,232.4,18.5,172931
"296",17,12,"Typical","Falke",1038.7,118.8,13.1,48103.8
"297",17,13,"Atypical","Pinguin",1527.7,82.1,5.1,68443.8
"298",17,14,"Atypical","Wal",1049.6,49.9,5.5,31168.6
"299",17,15,"Typical","Katze",1212.1,91.1,10.4,70204.7
"300",17,17,"Typical","Hund",1516.7,533.1,95.1,325062.5
"301",17,18,"Typical","Spatz",1079.9,98.8,4.4,49051.1
"302",17,19,"Typical","Hai",1274.4,349.4,41.4,231906
"303",18,1,"Typical","Hund",1387.6,117.4,24.5,101568.5
"304",18,2,"Typical","Lachs",1428.6,387.6,97.2,246386
"305",18,3,"Atypical","Aal",2691.3,836.1,306.4,120766.3
"306",18,4,"Typical","Klapperschlange",3206.6,951,411.2,-26782.5
"307",18,5,"Typical","Alligator",1403.1,149.2,23,60370.7
"308",18,6,"Typical","Spatz",1654.9,498,99.7,410539.5
"309",18,7,"Typical","Falke",1383.4,86,11.5,57097.6
"310",18,8,"Typical","Chamaeleon",1132.4,144.6,13.4,103017
"311",18,10,"Typical","Pferd",2294.1,997.5,173.1,609432
"312",18,11,"Atypical","Seeloewe",1187.9,40.1,8.8,21151.7
"313",18,12,"Typical","Loewe",1096.8,78.3,10.7,51059.8
"314",18,13,"Typical","Kaninchen",1322.7,62.8,8.2,45128.9
"315",18,14,"Atypical","Pinguin",991,44.7,9.3,27170.8
"316",18,15,"Typical","Katze",1098.4,55.6,8.7,30835.1
"317",18,16,"Typical","Goldfisch",1066.8,122.6,21.2,80985.5
"318",18,17,"Atypical","Fledermaus",2306.7,997.9,548.4,540164
"319",18,18,"Atypical","Wal",1184.2,96,15.4,75795.7
"320",18,19,"Atypical","Schmetterling",1028.5,66.3,19.9,35727.6
"321",19,1,"Typical","Lachs",1034.7,15.8,2.7,8029.8
"322",19,2,"Typical","Klapperschlange",2663.4,927.9,228,331041.5
"323",19,3,"Atypical","Fledermaus",1185.2,37,3.9,20119.3
"324",19,4,"Atypical","Seeloewe",1102.9,121.8,20.2,58782.2
"325",19,5,"Atypical","Pinguin",1055.5,65.5,16.1,37124.7
"326",19,6,"Typical","Pferd",1063.2,77.6,11.3,47090.3
"327",19,8,"Typical","Kaninchen",1078.4,31.2,5.4,22088.1
"328",19,9,"Atypical","Aal",1007.5,76.4,15.6,46792.3
"329",19,10,"Typical","Goldfisch",1198.9,93.5,19.5,42186.3
"330",19,11,"Typical","Katze",1107.6,87.7,17.9,57913.5
"331",19,12,"Typical","Chamaeleon",1221.4,53.3,8.6,40219.7
"332",19,13,"Typical","Alligator",1039.8,18.4,3.6,10364.6
"333",19,14,"Atypical","Schmetterling",1107.1,20.5,4.2,9651.8
"334",19,15,"Typical","Loewe",1093.7,14.9,1.8,7313.2
"335",19,16,"Atypical","Wal",3067,839,259.5,257472.4
"336",19,17,"Typical","Hund",1051,51.6,11.5,24745.7
"337",19,18,"Typical","Spatz",1277,55.9,7.9,42568.5
"338",19,19,"Typical","Falke",1101.3,93.4,20.3,45189.3
"339",20,1,"Typical","Katze",1376.2,186.2,41.9,118529
"340",20,2,"Typical","Hund",1135.6,121.4,27.6,52250.1
"341",20,3,"Typical","Lachs",1746.1,626.3,91.1,370372
"342",20,4,"Typical","Chamaeleon",1225.9,87.1,12,54776.2
"343",20,5,"Typical","Pferd",1134.6,53,5.5,31297
"344",20,6,"Atypical","Pinguin",1015.9,54.7,8.8,31968.5
"345",20,7,"Atypical","Schmetterling",1649.6,620.9,143.2,354424
"346",20,8,"Atypical","Fledermaus",1154.4,105,24,64729
"347",20,9,"Atypical","Aal",1013.8,41.8,6.4,15012.9
"348",20,10,"Typical","Hai",2258.8,991.8,528.3,541616.5
"349",20,11,"Typical","Goldfisch",1187.5,150.4,29.5,87087.9
"350",20,12,"Typical","Kaninchen",1091.5,51.5,10.5,29636.5
"351",20,13,"Atypical","Wal",1233.5,53.4,7.5,42502.5
"352",20,14,"Typical","Klapperschlange",1062.8,60.8,5.1,27524.4
"353",20,15,"Typical","Alligator",1068.2,48.3,8.2,27281.1
"354",20,16,"Typical","Loewe",1275.2,94.3,7.8,47446.7
"355",20,17,"Typical","Spatz",1054.5,42.4,10.6,22425.5
"356",20,18,"Atypical","Seeloewe",3057.7,921.6,205.7,179761.5
